股票编号,报告日期,基本每股收益,净利率,流动比率,速动比率
00022,2016-03,0.0227,26.5274,2069.54,8223.68
00022,2015-09,0.0212,44.0232,2575.95,9597.81
00022,2015-03,0.0218,26.04,2774.45,13000.0
00024,2018-12,-0.0189,-4.7609,133300.0,81600.0
00024,2018-06,0.0072,4.1934,130600.0,46100.0
00024,2017-12,-0.0013,-0.597,119700.0,51500.0
00024,2017-06,0.0216,9.634,109900.0,54100.0
00024,2016-12,-0.0369,-7.9833,101199.99999999999,64300.0
00024,2016-06,-0.0007,-0.1426,101800.0,57000.0
00024,2015-12,-0.0215,-2.8392,205100.00000000003,116700.0
00024,2015-06,-0.0074,-1.8283,202300.0,111600.0
00025,2018-09,0.5632,6.1951,533300.0,347000.0
00025,2018-03,2.4118,13.9173,496300.0,303600.0
00025,2017-09,1.6908,19.8458,552900.0,369300.0
00025,2017-03,1.5891,12.8406,563900.0,343800.0
00025,2016-09,0.5424,8.468,496300.0,304300.0
00025,2016-03,0.8749,6.5035,457000.0,314100.0
00025,2015-09,0.5582,7.6772,495300.0,334200.0
00025,2015-03,4.1268,31.7262,418500.0,286800.0
00026,2018-12,8.0172,942.0233,212900.0,18000.0
00026,2018-06,17.5365,1103.6854,207300.0,10700.0
00026,2017-12,6.6371,864.0816,223500.0,16400.0
00026,2017-06,12.0294,768.4753,243299.99999999997,11200.000000000002
00026,2016-12,6.0648,754.0047,257200.0,17400.0
00026,2016-06,6.5895,381.2394,251700.00000000003,12900.0
00026,2015-12,2.0442,223.6455,241300.0,19100.0
00026,2015-06,8.0833,481.0504,223200.0,7044.34
00027,2018-12,2.7408,24.579,1604600.0,2080000.0
00027,2018-06,1.408,25.8416,959100.0,1933800.0
00027,2017-12,2.0488,16.8383,1680300.0,2259900.0
00027,2017-06,0.94,16.2697,1836600.0,1803700.0
00027,2016-12,1.3176,11.8249,1970800.0000000002,1638899.9999999998
00027,2016-06,0.5128,10.0199,1143600.0,1003300.0
00027,2015-12,0.8193,8.0922,938199.9999999999,1025800.0
00027,2015-06,0.3762,7.9544,1034200.0,1344199.9999999998
00028,2018-12,0.7272,38.2205,1066900.0,662500.0
00028,2018-06,0.4683,36.1688,956600.0,437400.0
00028,2017-12,1.1368,187.9901,1136500.0,509600.0
00028,2017-06,0.9626,336.2992,1193300.0,532300.0
00028,2016-12,3.3902,301.3119,1241200.0,612900.0
00028,2016-06,0.2911,122.3151,1246100.0,782700.0
00028,2015-12,1.4457,252.1442,1090800.0,775000.0
00028,2015-06,0.1099,36.4928,928400.0,690500.0
00029,2018-12,0.1725,84.7277,31200.0,13500.0
00029,2018-06,0.4721,113.6247,28900.0,12600.0
00029,2017-12,0.293,147.0845,29100.0,14700.0
00029,2017-06,0.4461,114.6577,27300.0,14200.0
00029,2016-12,0.2308,114.7767,26600.0,26900.0
00029,2016-06,0.3649,92.5349,25099.999999999996,26300.0
00029,2015-12,0.1988,104.8977,24700.000000000004,14400.0
00029,2015-06,0.3651,100.0271,23100.0,13600.000000000002
00030,2018-09,0.003,5.6288,60700.0,12100.0
00030,2018-03,-0.0002,-0.1946,58600.0,14500.0
00030,2017-09,0.001,1.5438,45800.0,16000.0
00030,2017-03,-0.0536,-66.5259,40500.0,10400.0
00030,2016-09,-0.0015,-3.8326,21100.0,2902.05
00030,2016-03,-0.0132,-28.9211,18800.0,2035.25
00030,2015-09,-0.008,-72.8101,13400.0,5937.09
00030,2015-03,-0.0367,-209.1709,8683.55,3082.01
00031,2018-12,0.1148,14.0939,245400.0,109400.0
00031,2018-06,0.0449,12.695,221200.0,117899.99999999999
00031,2017-12,0.1317,18.2125,228000.0,188800.0
00031,2017-06,0.0567,16.0213,217300.0,193000.0
00031,2016-12,0.2309,38.9673,207700.0,147000.0
00031,2016-06,0.1718,77.1278,250799.99999999997,241300.0
00031,2015-12,0.2674,58.8029,250799.99999999997,209000.0
00031,2015-06,0.1047,51.0491,235700.0,85700.0
00032,2018-12,1.0514,77.3035,327400.0,64500.0
00032,2018-06,-0.2867,-41.1174,309800.0,56800.0
00032,2017-12,2.6498,265.8722,368600.0,34500.0
00032,2017-06,1.3019,279.6551,314700.0,31300.0
00032,2016-12,0.984,105.6978,291200.0,32900.0
00032,2016-06,0.282,71.5676,236300.0,27300.0
00032,2015-12,1.3907,166.9438,210600.0,24300.0
00032,2015-06,0.6703,181.6788,188000.0,21700.0
00033,2018-12,-0.0096,-154.3798,26100.0,15500.0
00033,2018-06,-0.0077,-303.0577,26500.0,15200.0
00033,2017-12,-0.0126,-80.8927,33000.0,14000.0
00033,2017-06,-0.005,-39.9312,39600.0,11900.0
00033,2016-12,-0.0114,-92.6037,49700.0,12700.0
00033,2016-06,-0.0048,-145.0202,52100.0,1347.99
00033,2015-12,-0.0096,-96.1401,26900.0,4304.6
00033,2015-06,-0.0063,-94.9682,36000.0,9526.88
00034,2018-12,1.6297,93.2958,2272500.0,1240600.0
00034,2018-06,0.7588,174.7327,1773800.0,1224700.0
00034,2017-12,1.1786,55.0865,1633400.0,1092500.0
00034,2017-06,0.3125,27.7381,1338800.0,983700.0
00034,2016-12,0.7335,14.0901,1322900.0,780300.0
00034,2016-06,0.2137,10.8293,1509400.0,762600.0
00034,2015-12,0.8713,30.7908,1595700.0,760100.0
00034,2015-06,0.3233,27.9075,1470800.0000000002,497500.0
00035,2018-09,0.2358,21.4314,1829500.0,745200.0
00035,2018-03,0.5529,27.1885,1657100.0,823900.0
00035,2017-09,0.3908,37.6975,1460500.0,767700.0
00035,2017-03,0.4528,22.6331,1410800.0000000002,548700.0
00035,2016-09,0.2755,23.3074,1289800.0,482700.00000000006
00035,2016-03,0.3083,18.9723,1141600.0,539200.0
00035,2015-09,0.1125,14.7746,852500.0,476300.0
00035,2015-03,0.404,19.5302,806700.0,483400.00000000006
00036,2018-12,-0.0853,-1259.8807,53500.0,313.33
00036,2018-06,-0.0251,-989.6387,60100.0,347.36
00036,2017-12,0.0533,730.999,62300.00000000001,332.69
00036,2017-06,-0.0474,-1248.1443,55400.0,329.46
00036,2016-12,-0.0443,-466.6096,66900.0,346.62
00036,2016-06,-0.0953,-2985.8366,58099.99999999999,280.84
00036,2015-12,0.1221,565.0501,68200.0,311.82
00036,2015-06,0.0521,900.4162,63000.0,890.34
00037,2018-09,-0.0085,-22.3676,6933.04,2574.18
00037,2018-03,0.0098,14.142,6988.98,2430.1
00037,2017-09,0.0116,33.7206,7244.19,2904.08
00037,2017-03,-0.007,-10.2303,6981.25,2664.2
00037,2016-09,-0.0014,-3.8633,8402.91,2412.97
00037,2016-03,-0.0147,-21.5658,8306.3,2720.94
00037,2015-09,-0.0134,-38.2258,8025.89,1875.84
00037,2015-03,-0.0911,-130.3856,2296.71,2809.5
00038,2018-12,-1.3188,-24.634,753199.9999999999,718300.0
00038,2018-09,-0.4027,-8.5731,837600.0,737600.0
00038,2018-06,-0.1471,-4.3584,789500.0,664599.9999999999
00038,2018-03,0.0486,1.3037,824900.0,758600.0
00038,2017-12,0.0572,0.5224,841700.0,774800.0
00038,2017-09,0.0743,1.1821,861200.0,789700.0
00038,2017-06,0.0326,0.826,695400.0000000001,688600.0
00038,2017-03,0.0647,2.5267,814400.0,734800.0
00039,2018-12,0.0007,0.9294,117500.0,86600.0
00039,2018-06,0.0014,4.387,93900.0,61600.0
00039,2017-12,0.0184,9.8936,107800.0,74500.0
00039,2017-06,0.0002,6.8252,81400.0,50199.99999999999
00039,2016-12,0.0013,1.3098,47200.0,31700.0
00039,2016-06,0.0025,8.7859,44500.0,19200.0
00039,2015-12,0.0043,1.8954,57699.99999999999,15200.0
00039,2015-06,0.0195,19.3553,41800.0,12500.0
00040,2018-09,0.0251,2.3459,358600.0,312700.0
00040,2018-03,0.0208,1.7414,291000.0,295800.0
00040,2017-09,0.0144,2.3336,297000.0,293100.0
00040,2017-03,0.0231,1.8382,275500.0,247200.0
00040,2016-09,0.0144,2.2738,252300.0,233800.0
00040,2016-03,0.02,2.0408,244100.0,205900.0
00040,2015-09,0.0485,4.1076,249300.0,206900.0
00040,2015-03,0.0523,3.1724,214200.00000000003,187800.0
00041,2018-12,7.2987,82.5871,1459700.0,809599.9999999999
00041,2018-06,4.2239,103.8682,1250600.0,817900.0000000001
00041,2017-12,10.7247,142.9234,1206700.0,487000.0
00041,2017-06,4.6607,125.7316,1207900.0,408400.00000000006
00041,2016-12,3.6675,47.6354,1065900.0,572700.0
00041,2016-06,1.8888,58.418,1205900.0,574700.0
00041,2015-12,4.1721,57.2374,953400.0,1131400.0
00041,2015-06,1.7428,54.0823,1027800.0,1187700.0
00042,2018-12,0.02,43.6322,18300.0,40000.0
00042,2018-09,0.0373,148.2017,18400.0,36300.0
00042,2018-06,0.0044,24.6734,17500.0,38200.0
00042,2018-03,-0.0053,-101.5884,15200.0,39200.0
00042,2017-12,-0.45,-1207.0505,15800.0,39500.0
00042,2017-09,-0.0319,-126.9955,19800.0,8421.15
00042,2017-06,-0.0228,-115.1767,20500.0,8842.85
00042,2017-03,-0.0178,-275.7288,23400.0,11700.0
00043,2018-12,0.0763,5.8577,1579700.0,1340600.0
00043,2018-09,0.0,6.0108,1498100.0,1155800.0
00043,2018-06,0.0281,4.9366,1440300.0,1213400.0
00043,2018-03,0.0,-0.0457,1356800.0,1180700.0
00043,2017-12,0.0108,0.7243,1248800.0,1067400.0
00043,2017-09,0.0,0.9941,1177000.0,899200.0
00043,2017-06,-0.0035,-1.011,1181800.0,918900.0
00043,2017-03,0.0,1.2104,1216600.0,807300.0
00045,2018-12,0.6834,19.9871,178400.0,163800.0
00045,2018-06,0.3457,22.5965,134900.0,295200.0
00045,2017-12,0.6102,19.9239,234800.0,406300.0
00045,2017-06,0.2864,19.8767,227200.0,162700.0
00045,2016-12,0.3846,11.8451,262500.0,124700.0
00045,2016-06,0.1111,7.5595,307900.0,119900.0
00045,2015-12,0.5446,17.5057,320300.0,119600.00000000001
00045,2015-06,0.2445,17.7323,276600.0,115700.0
00046,2018-12,0.244,24.1725,31100.0,12300.0
00046,2018-06,0.1051,23.0779,32000.0,15600.0
00046,2017-12,0.1875,21.3965,28500.0,11700.0
00046,2017-06,0.0818,19.2981,28100.0,11299.999999999998
00046,2016-12,0.1861,19.4605,30200.0,13000.0
00046,2016-06,0.08,18.7589,29500.0,14100.0
00046,2015-12,0.1531,20.1304,34400.0,9061.68
00046,2015-06,0.076,21.7933,33500.0,9895.56
00047,2018-12,0.011,5.1646,79400.0,47300.00000000001
00047,2018-06,0.0065,6.3419,77300.0,46100.0
00047,2017-12,0.0143,7.5441,76700.0,45800.0
00047,2017-06,0.0076,8.2336,67000.0,42800.0
00047,2016-12,0.0113,5.9587,63600.0,40599.99999999999
00047,2016-06,0.0034,3.8948,52300.00000000001,37000.0
00047,2015-12,0.0055,3.2091,45900.0,30900.0
00047,2015-06,0.0021,2.534,42900.0,32400.000000000004
00048,2018-12,-0.033,-33.3758,25500.0,12600.0
00048,2018-06,-0.015,-30.3684,24000.0,12300.0
00048,2017-12,-0.12,-104.0683,25500.0,12400.0
00048,2017-06,-0.116,-245.3757,28000.0,13200.0
00048,2016-12,-0.076,-64.2755,32700.0,12600.0
00048,2016-06,-0.052,-94.378,40300.0,5586.8
00048,2015-12,0.088,67.4026,59400.00000000001,5586.4
00048,2015-06,0.329,430.1493,78000.0,6838.0
00050,2018-12,0.8499,31.6604,211900.0,15800.0
00050,2018-06,0.6492,29.5148,202399.99999999997,15100.0
00050,2017-12,0.8108,70.1665,256600.0,63500.0
00050,2017-06,0.4079,69.691,237000.0,65500.0
00050,2016-12,0.5904,47.1697,208600.0,60000.0
00050,2016-06,0.2991,42.0665,261400.0,28700.0
00050,2015-12,0.4524,18.069,270100.0,39600.0
